source	source.label	source.image	target	target.label	target.image	edge
4	HO Fook __	https://upload.wikimedia.org/wikipedia/commons/8/8a/Ho_Fook.png	9	Lucy HO Shiu-choi (Lo) ___		employee of
4	HO Fook __	https://upload.wikimedia.org/wikipedia/commons/8/8a/Ho_Fook.png	45	HO Sai-wing ___		trading partner
4	HO Fook __	https://upload.wikimedia.org/wikipedia/commons/8/8a/Ho_Fook.png	46	HO Shai-in ___		employee of
5	Clara HO Tung (Cheung) ___		34	Victoria Jubilee LO (Ho) ____		employee of
5	Clara HO Tung (Cheung) ___		35	General HO Sai-lai ___		business partner (via xxx co)
9	Lucy HO Shiu-choi (Lo) ___		45	HO Sai-wing ___		trading partner
27	Ethel Yin-fong HO (Zimmern) ___		46	HO Shai-in ___		business partner (via xxx co)
28	May Sui-fong HO (Zimmern) ___		29	HO Sai Wah ___		business partner (via xxx co)
31	Edna Suet-jing HO (Lo) ___		32	HO Sai Leung ___		trading partner
33	LO Man Kam ___		34	Victoria Jubilee LO (Ho) ____		employed by
35	General HO Sai-lai ___		36	Hesta Rosalind HO (Hung) ___		employed by
3	Walter Bosman ___		48	Louise Bosman (Davenport)		employed by
73	Ta SHI __		1	Robert HO Tung __		employed by
73	Ta SHI __		2	HO Kom-tong ___		employed by
73	Ta SHI __		3	Walter Bosman ___		trading partner
73	Ta SHI __		4	HO Fook __		employer of
73	Ta SHI __		74	Charles Bosman ___		employee of
74	Charles Bosman ___		1	Robert HO Tung __		employer of
74	Charles Bosman ___		3	Walter Bosman ___		trading partner
74	Charles Bosman ___		4	HO Fook __		employer of
75	TSOI Pak-ngan (Ho) ___		1	Robert HO Tung __		employee of
75	TSOI Pak-ngan (Ho) ___		2	HO Kom-tong ___		employer of
75	TSOI Pak-ngan (Ho) ___		3	Walter Bosman ___		business partner (via xxx co)
75	TSOI Pak-ngan (Ho) ___		4	HO Fook __		business partner (via xxx co)
75	TSOI Pak-ngan (Ho) ___		73	Ta SHI __		business partner (via xxx co)
75	TSOI Pak-ngan (Ho) ___		76	TSOI Sing-nam ___		business partner (via xxx co)
75	TSOI Pak-ngan (Ho) ___		74	Charles Bosman ___		employee of
77	HO Sai-kit ___		2	HO Kom-tong ___		employee of
77	HO Sai-kit ___		81	Edith HO (McClymont)		employee of
77	HO Sai-kit ___		78	Winnie Yen HO (Choa)		employee of
77	HO Sai-kit ___		82	Elsie Pak-ching CHOA (Ho) ___		employer of
77	HO Sai-kit ___		84	Grace LEE (HO) ___		employer of
80	HO King Sin (Cheung) ___		2	HO Kom-tong ___		business partner (via xxx co)
80	HO King Sin (Cheung) ___		84	Grace LEE (HO) ___		business partner (via xxx co)
81	Edith HO (McClymont)		2	HO Kom-tong ___		business partner (via xxx co)
81	Edith HO (McClymont)		82	Elsie Pak-ching CHOA (Ho) ___		business partner (via xxx co)
82	Elsie Pak-ching CHOA (Ho) ___		2	HO Kom-tong ___		business partner (via xxx co)
82	Elsie Pak-ching CHOA (Ho) ___		83	CHOA Po-yiu ___		business partner (via xxx co)
84	Grace LEE (HO) ___		2	HO Kom-tong ___		business partner (via xxx co)
84	Grace LEE (HO) ___		85	Joseph LEE Hoi-chuen ___		business partner (via xxx co)
